date,cases
2022-04-25,0
2022-04-26,1
2022-04-27,1
2022-04-28,0
2022-04-29,0
2022-04-30,0
2022-05-1,0
2022-05-2,1
2022-05-3,1
2022-05-4,2
2022-05-5,1
2022-05-6,5
2022-05-7,2
2022-05-8,2
2022-05-9,6
2022-05-10,6
2022-05-11,7
2022-05-12,10
2022-05-13,7
2022-05-14,4
2022-05-15,11
2022-05-16,13
2022-05-17,10
2022-05-18,9
2022-05-19,19
2022-05-20,11
2022-05-21,16
2022-05-22,21
2022-05-23,14
2022-05-24,12
2022-05-25,22
2022-05-26,12
2022-05-27,15
2022-05-28,16
2022-05-29,14
2022-05-30,28
2022-05-31,34
2022-06-1,41
2022-06-2,25
2022-06-3,38
2022-06-4,25
2022-06-5,28
2022-06-6,37
2022-06-7,31
2022-06-8,38
2022-06-9,39
2022-06-10,43
2022-06-11,46
2022-06-12,50
2022-06-13,53
2022-06-14,33
2022-06-15,27
2022-06-16,42
2022-06-17,35
2022-06-18,20
2022-06-19,35
2022-06-20,32
2022-06-21,26
2022-06-22,23
2022-06-23,8
2022-06-24,8
2022-06-25,2
2022-06-26,2
2022-06-27,2
2022-06-28,4
